path,fingerprint,stage_keys,n_urls,coverage_pct,item_types,institutions,periods,example_url,example_paths
A_phase_stages,03d2cfddd7d04bfbc5ad6c2549732b4c,date|fsth|priority|text,1,0.2,URH2,NR,mid,/gegenstand/XX/URH2/2,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,518becd598965d368e567f3bbf9b1665,date|fsth|priority|text,1,0.2,URH2,NR,mid,/gegenstand/XXI/URH2/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,baf846ac2ac82901c1eeedb8e80df4f9,date|fsth|priority|text,1,0.2,PET-BR,BR,mid,/gegenstand/BR/PET-BR/31,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,9c76601a03706e56909b6b7b15a90a7f,date|priority|text,1,0.2,BAESM,NR,mid,/gegenstand/XXV/BAESM/58,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,c211e3d557495b892d266af0f1d1188c,date|fsth|priority|text,1,0.2,US,NR,mid,/gegenstand/XXV/US/3,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,be73f843535d082da7fe4539e52dc9bf,date|fsth|text,1,0.2,US,NR,mid,/gegenstand/XXV/US/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,8e241629dab9aa67caca132ca57d9d26,date|priority|text,1,0.2,V-BR,BR,mid,/gegenstand/BR/V-BR/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,3ee034e8ee08227e7519bf796556142a,date|fsth|priority|text,1,0.2,A,NR,recent,/gegenstand/XXVIII/A/561,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,3ad8ed3c1d4db769efe1f911da0f2228,date|priority|text,1,0.2,A,NR,recent,/gegenstand/XXVII/A/3801,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,8d3c9e303a3cc98bd2bfb68f1fca37ab,date|priority|text,1,0.2,A,NR,recent,/gegenstand/XXVI/A/56,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,69355e4dbf33282a34550b081262844a,date|priority|text,1,0.2,I,NR,recent,/gegenstand/XXVII/I/2595,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,a10acb5651c3369fce240bef13e2d36e,date|fsth|priority|text,1,0.2,III,NR,recent,/gegenstand/XXVII/III/1218,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,d4fc2bd17333618307141e8d5996cab3,date|priority|text,1,0.2,III,NR,recent,/gegenstand/XXVII/III/431,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
